location,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
Oklahoma,2020-03-29,16,1,21.215,21.0,22.0,5.215,5.0,6.0,27.691999999999997,26.0,30.0,6.477,5.0,8.0,35.643,32.0,40.0,7.9510000000000005,6.0,10.0,45.261,39.0,52.0,9.618,7.0,12.0,56.777,47.0,67.0,11.515999999999998,8.0,15.0,70.423,57.0,85.0,13.645999999999999,10.0,18.0,86.456,68.0,107.0,16.033,11.0,22.0,105.11200000000001,80.0,133.0,18.656,12.0,26.0,126.69,94.0,163.0,21.578000000000003,14.0,30.0,151.46200000000002,109.0,198.025,24.772,15.0,35.025,287.586,190.0,403.025,39.544000000000004,23.0,61.0,627.5169999999999,377.95,957.025,51.618,27.0,87.0
Oregon,2020-03-29,13,0,15.0,15.0,15.0,2.0,2.0,2.0,17.0,17.0,17.0,2.0,2.0,2.0,19.127,19.0,20.0,2.127,2.0,3.0,22.118000000000002,22.0,23.0,2.991,3.0,3.0,25.118000000000002,25.0,26.0,3.0,3.0,3.0,28.197,28.0,30.0,3.0789999999999997,3.0,4.0,31.752,31.0,34.0,3.555,3.0,4.0,35.501,34.0,38.0,3.7489999999999997,3.0,4.0,39.812,37.0,43.0,4.311,3.0,5.0,44.302,41.0,48.0,4.49,4.0,5.0,64.975,57.0,75.0,5.555,4.0,8.0,111.988,83.0,146.0,7.441,3.0,12.0
"Other Counties, WA",2020-03-29,20,3,24.546,24.0,26.0,4.546,4.0,6.0,29.56,28.0,32.025,5.013999999999999,4.0,6.024999999999981,35.144,32.0,39.025,5.584,4.0,7.0,41.177,37.0,47.025,6.0329999999999995,5.0,8.0,47.688,42.0,56.025,6.511,5.0,9.0,54.788000000000004,47.0,66.05,7.1,5.0,10.025,62.468999999999994,52.0,78.05,7.681,5.0,12.0,70.72399999999999,57.0,91.05,8.255,5.0,13.0,79.568,63.0,105.05,8.844,6.0,14.0,89.06,69.0,121.05,9.492,6.0,16.0,133.482,93.0,202.05,12.094000000000001,6.0,23.0,236.872,134.0,422.05,16.730999999999998,5.0,38.0
Pennsylvania,2020-03-29,41,7,52.95,52.0,54.0,11.95,11.0,13.0,67.407,65.0,70.0,14.457,13.0,16.0,84.641,80.0,89.0,17.234,15.0,19.0,104.94200000000001,98.0,112.0,20.301,18.0,23.0,128.548,118.0,139.0,23.605999999999998,20.0,27.0,155.68,141.0,171.0,27.131999999999998,23.0,32.0,186.606,167.0,209.0,30.926,26.0,38.0,221.475,195.0,253.0,34.869,28.0,44.0,260.47900000000004,226.0,304.0,39.004,31.0,51.0,303.788,259.0,362.025,43.309,33.0,58.025,521.479,407.0,685.025,60.358999999999995,38.0,94.0,978.898,639.0,1476.025,64.065,26.0,118.0
Rhode Island,2020-03-29,3,1,4.0,4.0,4.0,1.0,1.0,1.0,5.003,5.0,5.0,1.003,1.0,1.0,6.685,6.0,7.0,1.682,1.0,2.0,8.675,8.0,9.0,1.99,2.0,2.0,10.923,10.0,12.0,2.248,2.0,3.0,13.716,12.0,15.0,2.793,2.0,3.0,16.991,14.0,19.0,3.275,2.0,4.0,20.813000000000002,17.0,24.0,3.822,3.0,5.0,25.224,20.0,30.0,4.4110000000000005,3.0,6.0,30.267,24.0,37.0,5.043,4.0,7.0,57.038999999999994,44.0,75.0,7.691,6.0,11.0,123.056,91.0,166.0,10.16,7.0,14.0
South Carolina,2020-03-29,16,1,19.445999999999998,19.0,20.0,3.446,3.0,4.0,23.445999999999998,23.0,24.0,4.0,4.0,4.0,28.413,27.0,29.0,4.967,4.0,5.0,33.964,32.0,35.0,5.551,5.0,6.0,40.192,38.0,42.0,6.228,6.0,7.0,47.405,45.0,50.0,7.212999999999999,7.0,8.0,55.708,53.0,59.0,8.302999999999999,8.0,9.0,65.26,62.0,69.0,9.552,9.0,10.0,76.13,72.0,81.0,10.87,10.0,12.0,88.281,83.0,95.0,12.151,11.0,14.0,151.268,140.0,167.0,17.995,16.0,21.0,318.405,279.0,375.0,27.884,22.0,36.0
South Dakota,2020-03-29,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0070000000000001,1.0,1.0,0.006999999999999999,0.0,0.0,1.041,1.0,2.0,0.034,0.0,1.0,1.119,1.0,3.0,0.078,0.0,1.0,1.274,1.0,4.0,0.155,0.0,1.0,1.541,1.0,5.0,0.267,0.0,1.0,1.915,1.0,6.0,0.374,0.0,1.0,4.97,1.0,15.0,1.068,0.0,3.0,20.197,3.0,49.025,3.168,1.0,7.0
Tennessee,2020-03-29,8,1,10.0,10.0,10.0,2.0,2.0,2.0,12.925999999999998,12.0,13.0,2.926,2.0,3.0,15.937000000000001,15.0,16.0,3.011,3.0,3.0,19.894000000000002,18.0,20.0,3.957,3.0,4.0,24.447,22.0,25.0,4.553,4.0,5.0,29.723000000000003,27.0,31.0,5.276,5.0,6.0,35.936,33.0,38.0,6.212999999999999,6.0,7.0,43.193999999999996,39.0,46.0,7.257999999999999,6.0,8.0,51.599,46.0,55.0,8.405,7.0,9.0,61.283,54.0,66.0,9.684,8.0,11.0,114.792,101.0,126.0,15.853,14.0,18.0,274.476,233.975,309.0,27.905,22.0,33.0
Texas,2020-03-29,37,7,44.699,42.0,46.0,7.699,5.0,9.0,53.723,48.0,57.0,9.024,6.0,11.0,64.22,55.0,69.0,10.497,7.0,12.0,76.377,63.0,84.0,12.157,8.0,15.0,90.387,71.975,101.0,14.01,8.975,17.0,106.443,81.975,121.0,16.055999999999997,10.0,20.0,124.729,92.975,144.0,18.285999999999998,11.0,23.0,145.481,104.975,170.0,20.752,12.0,26.0,168.89,118.975,200.0,23.409000000000002,14.0,30.0,195.19400000000002,133.975,234.0,26.304000000000002,15.0,34.0,333.542,217.95,414.0,39.98,24.975,53.0,725.49,447.825,969.05,68.306,37.975,101.025
United States of America,2020-03-29,2457,439,3063.5409999999997,3013.975,3116.025,606.521,556.975,659.025,3785.0559999999996,3657.95,3920.05,721.515,643.975,804.025,4631.1,4385.95,4890.075,846.044,728.0,970.025,5612.521,5204.95,6045.1,981.421,819.0,1155.025,6733.318,6103.925,7400.1,1120.797,898.975,1355.0,7997.603,7078.85,8975.1,1264.285,974.925,1575.0,9409.765,8126.825,10773.225,1412.162,1047.975,1798.125,10968.478000000001,9240.8,12804.225,1558.713,1113.975,2031.0,12668.646999999999,10410.775,15067.25,1700.1689999999999,1169.975,2263.025,14501.893999999998,11626.625,17556.35,1833.247,1215.85,2489.1,22839.646,16650.375,29451.85,2198.715,1253.0,3218.175,38468.945,24626.025,53741.0,2154.089,1027.9,3478.4
Utah,2020-03-29,2,1,2.0,2.0,2.0,0.0,0.0,0.0,2.379,2.0,3.0,0.379,0.0,1.0,2.85,2.0,4.0,0.47100000000000003,0.0,1.0,3.51,2.0,5.0,0.66,0.0,1.0,4.323,2.0,6.0,0.813,0.0,1.0,5.337999999999999,2.0,8.0,1.015,0.0,2.0,6.562,3.0,10.0,1.224,1.0,2.0,8.06,4.0,13.0,1.4980000000000002,1.0,3.0,9.963,5.0,17.0,1.903,1.0,4.0,12.297,6.0,21.0,2.334,1.0,4.0,27.535,13.0,49.025,4.822,2.0,9.0,85.171,43.0,153.05,10.950999999999999,6.0,20.0
Vermont,2020-03-29,12,0,13.997,14.0,14.0,1.9969999999999999,2.0,2.0,16.005,16.0,16.0,2.008,2.0,2.0,18.336,18.0,19.0,2.331,2.0,3.0,20.863000000000003,20.0,22.0,2.5269999999999997,2.0,3.0,23.486,22.0,25.0,2.623,2.0,3.0,26.415,24.0,29.0,2.929,2.0,4.0,29.538,26.0,33.0,3.123,2.0,4.0,32.707,28.0,37.0,3.1689999999999996,2.0,4.0,35.847,30.0,42.0,3.14,2.0,5.0,39.058,32.0,47.0,3.2110000000000003,2.0,5.0,52.714,40.0,69.0,3.4930000000000003,2.0,6.0,73.372,46.0,109.0,2.6,0.0,5.0
Virginia,2020-03-29,20,7,23.212,22.0,25.0,3.2119999999999997,2.0,5.0,26.83,24.0,31.0,3.6180000000000003,2.0,6.0,30.92,26.0,39.0,4.09,2.0,8.0,35.541,28.0,49.0,4.621,2.0,10.0,40.705999999999996,30.0,61.0,5.165,2.0,12.0,46.507,33.0,75.0,5.801,3.0,14.0,53.022,36.0,92.0,6.515,3.0,17.0,60.294,39.0,111.0,7.272,3.0,19.0,68.38600000000001,42.0,134.0,8.092,3.0,23.0,77.35,45.0,160.0,8.964,3.0,26.0,123.039,57.975,299.025,12.989,3.975,40.025,245.188,85.975,679.05,20.767,4.0,63.0
Washington,2020-03-29,194,8,210.31900000000002,208.0,214.0,16.319000000000003,14.0,20.0,227.50799999999998,222.0,235.025,17.189,14.0,21.025,245.644,236.0,258.025,18.136,14.0,23.0,264.54900000000004,250.0,283.025,18.905,14.0,25.0,284.14799999999997,264.0,310.025,19.599,14.0,27.0,304.47900000000004,277.0,339.05,20.331,13.0,29.025,325.52,290.0,371.05,21.041,13.0,32.0,347.158,302.0,404.05,21.638,12.0,33.0,369.441,315.0,439.05,22.283,13.0,35.0,392.335,327.0,477.05,22.894000000000002,12.0,38.0,489.23800000000006,369.0,649.05,24.980999999999998,10.0,46.0,675.555,423.0,1031.075,27.628,6.0,60.0
West Virginia,2020-03-29,0,0,0.085,0.0,1.0,0.065,0.0,1.0,0.183,0.0,2.0,0.098,0.0,1.0,0.308,0.0,3.0,0.125,0.0,1.0,0.474,0.0,4.0,0.166,0.0,1.0,0.7240000000000001,0.0,5.0,0.25,0.0,1.0,1.094,0.0,6.0,0.37,0.0,1.0,1.59,0.0,8.0,0.496,0.0,2.0,2.208,0.0,10.0,0.618,0.0,2.0,3.029,0.0,13.0,0.821,0.0,3.0,4.09,0.0,16.0,1.061,0.0,3.0,11.832,0.0,38.0,2.595,0.0,7.0,49.963,8.0,124.0,8.105,2.0,17.0
Wisconsin,2020-03-29,18,1,22.135,21.0,25.0,4.135,3.0,7.0,27.08,24.0,34.0,4.945,3.0,9.0,32.965,27.0,45.0,5.885,3.0,11.0,39.884,30.0,59.0,6.919,3.0,14.0,47.967,34.0,77.025,8.083,4.0,18.025,57.321999999999996,38.0,100.025,9.355,4.0,23.0,68.064,42.0,128.025,10.742,4.0,28.0,80.249,46.0,162.025,12.185,4.0,34.0,94.103,50.0,202.025,13.854000000000001,4.0,40.0,109.685,54.0,248.05,15.582,4.0,46.025,190.296,70.0,508.2,22.891,4.0,78.05,393.369,98.0,1260.5,32.806999999999995,4.0,130.05
Wyoming,2020-03-29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.011000000000000001,0.0,0.0,0.009000000000000001,0.0,0.0,0.045,0.0,1.0,0.034,0.0,1.0,0.146,0.0,2.0,0.10099999999999999,0.0,1.0,0.331,0.0,3.0,0.185,0.0,1.0,2.11,0.0,8.0,0.618,0.0,2.0,11.655999999999999,0.0,29.0,1.995,0.0,4.0
